"File Name","Face Shape","Type of Lip","Color of Lip","Forehead","Cheeks with Dimple","Ear","Eye Size","Eye Defect","Eye Color","Eyebrow Style","Eyebrow Separation","Jaw Line","Skin Color","Hair Color","Hair Style","Beard Mustache Style","Nose","Age (Rough estimate as appearing)","Gender","Identification mark if any (describe)"
"S1.jpeg","Diamond","Heavy lower lips","Pink","Fuzzi-Mount","Yes","pointed ear","Big Eye","No visible defect","Brown","Sharp","High Seperated","Sharp","Fair","Black","Long hair girl","Shaven","Straight",32,"Female","No"
"S50.jpeg","Rectangle","Heavy lower lips","Black","Broad","No","narrow ear","Medium Eye","No visible defect","Black","Sharp","Seperated","Flat","Dark","Black","Half Bald","Shaven","Raised",18,"Male","na"
"S53.jpg","Oblong","Thin lips","Pink","Straight","No","Broad lobe","Medium Eye","No visible defect","Gray","Medium thick","Seperated","Flat","White","Black and white mixed","Medium length male","Shaven","Lowered",50,"Male","Non"
"S54.jpeg","Diamond","Heavy upper lips","Pink","Broad","No","pointed ear","Medium Eye","No visible defect","Gray","Medium thick","Seperated","Sharp","White","Golden","Long hair girl","Shaven","Straight",32,"Female","NA"
"S52.jpeg","Diamond","Heavy lower lips","Pink","Straight","Yes","Broad lobe","Big Eye","No visible defect","Black","Very Thick","High Seperated","Sharp","Fair","Black","Long hair girl","Shaven","Straight",31,"Female","No"
"S51.jpeg","Diamond","Thin lips","Skin","Straight","No","narrow ear","Medium Eye","No visible defect","Blue","Sharp","Seperated","Flat","Fair","White","Medium length male","Circle Beard","Wavy",68,"Male","No Identification mark"
"S2.jpg","Rectangle","Heavy upper lips","Pink","Broad","No","pointed ear","Medium Eye","Defect in Left Eye","Gray","Medium thick","Seperated","Sharp","White","Brown","Half Bald","Stubble (medium)","Straight",36,"Male","None"
"S3.jpg","Heart","Thin lips","Pink","Straight","No","narrow ear","Medium Eye","Defect In Right Eye","Blue","Medium thick","Seperated","Flat","Fair","Brown","Medium length male","Stubble (short)","Raised",37,"Male","none"
"S4.jpg","Rectangle","Full Lips","Pink","Broad","No","pointed ear","Medium Eye","No visible defect","Brown","Medium thick","Seperated","Sharp","Brown","Black","Full Bald","Stubble (medium)","Straight",30,"Male","none"
"S5.jpg","Oval","Full Lips","Black","Broad","No","Square ear","Small Eye","No visible defect","Black","Medium thick","Seperated","Sharp","Dark","Black","Small hair","Goatee","Raised",35,"Male","Ear rings"
"S6.jpg","Heart","Wide Lips","Black","Straight","No","Square ear","Medium Eye","No visible defect","Black","Medium thick","Seperated","Flat","Dark","Black","Medium length male","Stubble (long)","Straight",25,"Male","na"
"S7.jpg","Oblong","Heavy upper lips","Pink","Fuzzi-Mount","No","pointed ear","Medium Eye","No visible defect","Black","Very Thick","Seperated","Round","Brown","Black","Small hair","Stubble (medium)","Raised",25,"Male","None"
"S21.jpg","Round","Full Lips","Pink","Straight","No","pointed ear","Small Eye","No visible defect","Black","Medium thick","Seperated","Sharp","Fair","Black and white mixed","Half Bald","Stubble (medium)","Straight",40,"Male","None"
"S8.jpeg","Oblong","Thin lips","Pink","Sharp","No","Broad lobe","Medium Eye","No visible defect","Black","Very Thick","High Seperated","Round","Fair","Black","Long hair male","Stubble (short)","Straight",26,"Male","Not Applicable"
"S9.jpeg","Diamond","Heavy lower lips","Skin","Broad","No","narrow ear","Medium Eye","No visible defect","Black","Sharp","Seperated","Flat","Brown","Black and white mixed","Half Bald","Imperial","Lowered",50,"Male","Not Applicable"
"S10.jpeg","Heart","Full Lips","Pink","Straight","No","narrow ear","Medium Eye","No visible defect","Black","Very Thick","Seperated","Round","Brown","Black","Long hair girl","Shaven","Straight",21,"Female","Not Applicable"
"S11.jpeg","Oval","Thin lips","Pink","Fuzzi-Mount","No","narrow ear","Big Eye","No visible defect","Brown","Medium thick","Seperated","Round","Fair","Black","Long hair girl","Shaven","Wavy",30,"Female","Not Applicable"
"S12.jpeg","Round","Thin lips","Pink","Fuzzi-Mount","No","pointed ear","Medium Eye","No visible defect","Black","Medium thick","Seperated","Sharp","Brown","Brown","Long hair girl","Shaven","Raised",28,"Female","Not Applicable"
"S14.jpeg","Heart","Thin lips","Pink","Straight","No","narrow ear","Small Eye","No visible defect","Black","Medium thick","Seperated","Sharp","Fair","Black","Medium length male","Ducktail","Lowered",35,"Male","Not Applicable"
"S15.jpg","Rectangle","Heart shaped lips","Pink","Straight","No","pointed ear","Small Eye","No visible defect","Black","Sharp","Seperated","Sharp","Fair","Black","Medium length male","Full beard","Lowered",28,"Male","Not Applicable"
"S16.jpeg","Heart","Heavy lower lips","Pink","Curved","No","pointed ear","Small Eye","No visible defect","Black","Sharp","High Seperated","Round","Brown","Black","Medium length male","Full beard","Lowered",30,"Male","Not Applicable"
"S17.jpg","Oval","Heavy lower lips","Pink","Curved","No","pointed ear","Small Eye","No visible defect","Black","Sharp","High Seperated","Sharp","Brown","Black","Medium length male","Full beard","Lowered",30,"Male","Not Applicable"
"S18.jpeg","Oblong","Thin lips","Pink","Broad","No","Broad lobe","Small Eye","No visible defect","Black","Sharp","High Seperated","Flat","White","Black and white mixed","Half Bald","Shaven","Straight",55,"Male","Not Applicable"
"S19.jpeg","Rectangle","Thin lips","Pink","Straight","No","Broad lobe","Medium Eye","No visible defect","Black","Medium thick","Joined","Round","Brown","Black","Medium length male","Extended goatee","Straight",40,"Male","Not Applicable"
"S20.jpeg","Rectangle","Heavy lower lips","Black","Narrow","No","narrow ear","Medium Eye","No visible defect","Black","Sharp","Seperated","Round","Brown","Black","Small hair","Shaven","Lowered",27,"Male","Not Applicable"
"S33.jpg","Diamond","Heart shaped lips","Pink","Curved","No","narrow ear","Small Eye","No visible defect","Black","Medium thick","Seperated","Sharp","Fair","Black","Long hair male","Shaven","Straight",28,"Male","None"
"S32.JPG","Rectangle","Wide Lips","Pink","Broad","Yes","pointed ear","Big Eye","No visible defect","Brown","Medium thick","Seperated","Sharp","White","White","Full Bald","Shaven","Straight",35,"Male","No"
"S22.jpeg","Oval","Full Lips","Pink","Sharp","No","narrow ear","Big Eye","No visible defect","Black","Very Thick","Seperated","Round","Fair","Black","Long hair girl","Shaven","Straight",24,"Female","Not Applicable"
"S23.jpeg","Heart","Full Lips","Pink","Narrow","No","pointed ear","Medium Eye","No visible defect","Brown","Very Thick","Seperated","Round","Fair","Black","Long hair girl","Shaven","Straight",25,"Female","Not Applicable"
"S24.jpeg","Oval","Thin lips","Skin","Narrow","Yes","pointed ear","Medium Eye","No visible defect","Black","Sharp","Seperated","Sharp","Brown","Black","Medium length male","Imperial","Lowered",30,"Male","Not Applicable"
"S25.jpeg","Rectangle","Wide Lips","Skin","Straight","No","pointed ear","Medium Eye","No visible defect","Black","Sharp","High Seperated","Round","Dark","Brown","Small hair","Stubble (short)","Straight",24,"Male","Not Applicable"
"S26.jpeg","Heart","Thin lips","Pink","Narrow","No","pointed ear","Small Eye","No visible defect","Black","Sharp","Seperated","Flat","Fair","Black","Medium length male","Full beard","Concave",25,"Male","Not Applicable"
"S27.jpeg","Rectangle","Thin lips","Pink","Narrow","No","pointed ear","Medium Eye","No visible defect","Black","Medium thick","Seperated","Round","Fair","Black","Medium length male","Full beard","Concave",25,"Male","Not Applicable"
"S28.jpeg","Heart","Thin lips","Pink","Narrow","No","narrow ear","Medium Eye","No visible defect","Black","Very Thick","Seperated","Flat","Fair","Black","Medium length male","Stubble (short)","Wavy",25,"Male","Not Applicable"
"S29.jpeg","Round","Thin lips","Pink","Straight","No","pointed ear","Small Eye","No visible defect","Black","Sharp","Seperated","Round","White","Black and white mixed","Boy cut girl","Shaven","Straight",35,"Female","Not Applicable"
"S30.jpeg","Oval","Thin lips","Pink","Sharp","No","Square ear","Big Eye","No visible defect","Black","Sharp","Seperated","Sharp","Fair","Black","Long hair girl","Shaven","Straight",21,"Female","Not Applicable"
"S31.jpeg","Rectangle","Heavy lower lips","Skin","Narrow","No","pointed ear","Medium Eye","No visible defect","Black","Sharp","Seperated","Flat","Fair","Black","Medium length male","Stubble (short)","Lowered",30,"Male","Not Applicable"
"S45.jpg","Oblong","Full Lips","Pink","Broad","No","Broad lobe","Medium Eye","No visible defect","Brown","Sharp","Seperated","Sharp","Fair","Black","Medium length male","Extended goatee","Lowered",36,"Male","None"
"S34.jpeg","Heart","Wide Lips","Skin","Straight","No","Square ear","Medium Eye","No visible defect","Black","Sharp","Seperated","Flat","Brown","Black and white mixed","Small hair","Circle Beard","Straight",45,"Male","A mole on the left cheek"
"S35.jpeg","Oblong","Thin lips","Pink","Broad","No","narrow ear","Small Eye","No visible defect","Black","Sharp","Seperated","Flat","White","White","Half Bald","Shaven","Straight",65,"Male","Not Applicabble"
"S36.jpeg","Rectangle","Thin lips","Pink","Straight","No","narrow ear","Small Eye","No visible defect","Black","Very Thick","Seperated","Sharp","Brown","Black","Medium length male","Circle Beard","Straight",30,"Male","Not Applicable"
"S37.jpeg","Round","Thin lips","Pink","Narrow","No","pointed ear","Medium Eye","No visible defect","Black","Medium thick","Seperated","Round","Brown","Black","Medium length male","Stubble (long)","Concave",40,"Male","Not Applicable"
"S38.jpeg","Round","Heavy lower lips","Pink","Narrow","No","pointed ear","Small Eye","No visible defect","Black","Medium thick","Seperated","Sharp","Fair","Black","Small hair","Stubble (medium)","Straight",25,"Male","Not Applicable"
"S40.jpeg","Heart","Heavy lower lips","Skin","Narrow","No","pointed ear","Medium Eye","No visible defect","Black","Medium thick","Seperated","Round","Brown","Black","Small hair","Stubble (medium)","Lowered",28,"Male","Not Applicable"
"S39.jpeg","Rectangle","Thin lips","Pink","Straight","Yes","Broad lobe","Medium Eye","No visible defect","Blue","Sharp","Seperated","Sharp","Fair","Brown","Medium length male","Stubble (short)","Lowered",50,"Male","No"
"S41.jpeg","Oval","Thin lips","Pink","Sharp","Yes","pointed ear","Medium Eye","No visible defect","Black","Medium thick","Seperated","Sharp","Fair","Black","Medium length male","Stubble (short)","Lowered",18,"Male","Not Applicable"
"S42.jpeg","Oblong","Thin lips","Pink","Broad","No","pointed ear","Medium Eye","No visible defect","Black","Sharp","High Seperated","Flat","Fair","Black","Long hair girl","Shaven","Concave",25,"Female","Not Appplicable"
"S43.jpeg","Heart","Thin lips","Skin","Narrow","No","pointed ear","Big Eye","No visible defect","Brown","Very Thick","Seperated","Flat","Fair","Black and white mixed","Medium length male","Stubble (long)","Lowered",35,"Male","Not Applicable"
"S44.jpeg","Oval","Full Lips","Skin","Narrow","No","pointed ear","Big Eye","No visible defect","Black","Medium thick","Seperated","Sharp","Brown","Black","Long hair girl","Shaven","Straight",22,"Female","Not Applicable"
"S47.jpg","Rectangle","Thin lips","Pink","Narrow","No","Square ear","Medium Eye","No visible defect","Black","Very Thick","Seperated","Sharp","Brown","Brown","Medium length male","Stubble (short)","Wavy",24,"Male","None"
"S46.jpeg","Oval","Heart shaped lips","Pink","Sharp","Yes","Broad lobe","Medium Eye","No visible defect","Black","Very Thick","Seperated","Sharp","Fair","Black","Long hair girl","Shaven","Straight",22,"Female","Not Applicable"
"S48.jpg","Diamond","Thin lips","Pink","Broad","No","pointed ear","Medium Eye","No visible defect","Brown","Sharp","High Seperated","Sharp","Fair","Black","Medium length male","Stubble (short)","Straight",26,"Male","None"
"S49.jpg","Heart","Heavy lower lips","Skin","Straight","No","Broad lobe","Medium Eye","No visible defect","Brown","Medium thick","Joined","Round","Brown","Black and white mixed","Medium length male","Stubble (long)","Straight",45,"Male","None"
"S69.jpg","Diamond","Thin lips","Pink","Broad","Yes","pointed ear","Small Eye","Defect in Left Eye","Hazel","Medium thick","Seperated","Round","Fair","White","Medium length male","Shaven","Straight",60,"Male","non"
"S70.jpeg","Diamond","Full Lips","Pink","Straight","No","pointed ear","Medium Eye","No visible defect","Blue","Sharp","Seperated","Sharp","White","Golden","Short hair girl","Shaven","Straight",30,"Female","NA"
"S68.jpeg","Oblong","Wide Lips","Pink","Straight","No","narrow ear","Medium Eye","No visible defect","Hazel","Sharp","Seperated","Flat","Fair","Brown","Small hair","Shaven","Straight",38,"Male","No Identification mark"
"S55.jpg","Oval","Thin lips","Pink","Broad","No","narrow ear","Big Eye","No visible defect","Gray","Sharp","High Seperated","Sharp","White","Golden","Long hair girl","Shaven","Straight",31,"Male","None"
"S56.jpg","Diamond","Wide Lips","Skin","Straight","Yes","pointed ear","Small Eye","No visible defect","Brown","Medium thick","High Seperated","Sharp","Fair","Black","Medium length male","Shaven","Lowered",22,"Male","None"
"S58.jpg","Oblong","Heavy upper lips","Skin","Broad","No","narrow ear","Small Eye","No visible defect","Black","Sharp","Seperated","Sharp","Dark","Black","Small hair","Extended goatee","Concave",34,"Male","None"
"S57.JPG","Round","Thin lips","Pink","Curved","No","narrow ear","Medium Eye","No visible defect","Blue","Medium thick","Seperated","Flat","White","Golden","Long hair girl","Shaven","Raised",25,"Female","freckles on nose and below right eye"
"S59.jpg","Oval","Heavy lower lips","Pink","Broad","No","Broad lobe","Medium Eye","No visible defect","Black","Sharp","High Seperated","Sharp","Fair","Black","Long hair girl","Shaven","Concave",33,"Female","None"
"S60.jpg","Heart","Heart shaped lips","Pink","Straight","No","Square ear","Small Eye","No visible defect","Black","Very Thick","Seperated","Sharp","Fair","Black","Medium length male","Stubble (medium)","Lowered",37,"Male","None"
"S61.jpg","Round","Thin lips","Pink","Curved","No","Broad lobe","Small Eye","No visible defect","Blue","Medium thick","Seperated","Round","White","Golden","Long hair male","Stubble (short)","Lowered",24,"Male","None"
"S62.jpg","Round","Full Lips","Pink","Broad","No","Square ear","Medium Eye","No visible defect","Black","Sharp","Seperated","Flat","Brown","Brown","Long hair girl","Shaven","Raised",34,"Female","None"
"S63.jpg","Heart","Heart shaped lips","Pink","Broad","No","pointed ear","Small Eye","No visible defect","Hazel","Medium thick","High Seperated","Sharp","White","Brown","Long hair male","Anchor","Lowered",37,"Male","Hairband"
"S64.jpg","Diamond","Wide Lips","Pink","Straight","No","narrow ear","Medium Eye","No visible defect","Black","Medium thick","Seperated","Sharp","Fair","Black","Medium length male","Full beard","Straight",35,"Male","no"
"S65.jpg","Rectangle","Thin lips","Pink","Broad","Yes","Square ear","Medium Eye","No visible defect","Brown","Medium thick","High Seperated","Sharp","Brown","Black and white mixed","Half Bald","Stubble (short)","Wavy",39,"Male","None"
"S66.jpg","Diamond","Wide Lips","Pink","Straight","No","Square ear","Big Eye","No visible defect","Brown","Medium thick","High Seperated","Flat","Brown","Black","Medium length male","Shaven","Raised",50,"Male","no"
"S67.jpg","Oval","Heavy lower lips","Pink","Broad","No","pointed ear","Medium Eye","Defect In Right Eye","Gray","Medium thick","Seperated","Round","White","White","Half Bald","Shaven","Lowered",65,"Male","None"
"S84.jpg","Rectangle","Heart shaped lips","Pink","Straight","No","Broad lobe","Medium Eye","No visible defect","Hazel","Very Thick","Seperated","Flat","Fair","Brown","Long hair male","Stubble (short)","Straight",36,"Male","Medium-long wavy brown hair"
"S85.jpeg","Diamond","Thin lips","Pink","Straight","No","pointed ear","Medium Eye","No visible defect","Gray","Medium thick","Seperated","Sharp","White","Golden","Short hair girl","Shaven","Straight",34,"Female","NA"
"S75.jpg","Round","Heavy lower lips","Skin","Fuzzi-Mount","No","pointed ear","Big Eye","No visible defect","Black","Medium thick","Seperated","Round","Fair","Black","Medium length male","Imperial","Straight",50,"Male","No Identification marks"
"S71.jpg","Oval","Thin lips","Pink","Broad","No","narrow ear","Small Eye","No visible defect","Gray","Sharp","Seperated","Sharp","White","Golden","Long hair girl","Shaven","Straight",30,"Female","no"
"S72.jpg","Heart","Thin lips","Pink","Straight","No","narrow ear","Medium Eye","No visible defect","Gray","Medium thick","Seperated","Flat","White","Black","Medium length male","Shaven","Straight",63,"Male","None"
